x0	y0f0	y0f10	y0f20	x1	y1f0	y1f10	y1f20	x2	y2f0	y2f10	y2f20	x3	y3f0	y3f10	y3f20	x4	y4f0	y4f10	y4f20	x5	y5f0	y5f10	y5f20	x6	y6f0	y6f10	y6f20	x7	y7f0	y7f10	y7f20	x8	y8f0	y8f10	y8f20	x9	y9f0	y9f10	y9f20	x10	y10f0	y10f10	y10f20	x11	y11f0	y11f10	y11f20	x12	y12f0	y12f10	y12f20	x13	y13f0	y13f10	y13f20	x14	y14f0	y14f10	y14f20	x15	y15f0	y15f10	y15f20	x16	y16f0	y16f10	y16f20	x17	y17f0	y17f10	y17f20
1983.384783	0.000000	0.000000	0.000000	456.434783	0.000000	0.000002	0.000009	3101.478261	0.000005	0.000005	0.000005	0.447308	0.085680	0.000000	0.000000	0.630435	0.187250	0.187283	0.186922	148.507015	0.000072	0.000044	0.000028	503.692430	0.000000	0.000000	0.000000	503.716527	0.000042	0.000034	0.000024	86.883291	0.000178	0.000466	0.000484	0.630435	0.672832	0.640836	0.556549	20.290777	0.002295	0.003430	0.003142	1854.254771	0.000000	0.000000	0.000000	33.519100	0.000000	0.000000	0.000000	403247.386311	0.000000	0.000000	0.000000	403247.378365	0.000000	0.000000	0.000000	0.641129	1.035911	0.715742	0.674065	110.986957	0.000332	0.000193	0.000850	55.993478	0.000663	0.000385	0.001701
1995.936622	0.000000	0.000000	0.000000	459.340468	0.000000	0.000002	0.000010	3121.216054	0.000005	0.000005	0.000005	0.450156	0.090865	0.000000	0.000000	0.634448	0.191606	0.191874	0.191565	150.900343	0.000051	0.000042	0.000016	506.898553	0.000000	0.000000	0.000000	506.922388	0.000044	0.000037	0.000027	87.436394	0.000190	0.000450	0.000477	0.634448	0.671177	0.637994	0.553306	20.419949	0.002316	0.003410	0.003199	1866.048888	0.000000	0.000000	0.000000	33.731924	0.000000	0.000000	0.000000	405814.478288	0.000000	0.000000	0.000000	405814.470429	0.000000	0.000000	0.000000	0.645026	1.030341	0.704357	0.663172	111.675171	0.000335	0.000200	0.000840	56.337585	0.000671	0.000399	0.001680
2008.488462	0.000000	0.000000	0.000000	462.246154	0.000000	0.000001	0.000012	3140.953846	0.000006	0.000006	0.000006	0.453004	0.095473	0.000000	0.000000	0.638462	0.195751	0.196241	0.195978	153.293670	0.000036	0.000046	0.000009	510.104675	0.000000	0.000000	0.000000	510.128249	0.000046	0.000039	0.000030	87.989497	0.000202	0.000433	0.000469	0.638462	0.669659	0.635415	0.550444	20.549121	0.002317	0.003373	0.003262	1877.843005	0.000000	0.000000	0.000000	33.944749	0.000000	0.000000	0.000000	408381.570266	0.000000	0.000000	0.000000	408381.562493	0.000000	0.000000	0.000000	0.648924	1.025045	0.693373	0.652660	112.363385	0.000338	0.000208	0.000829	56.681692	0.000676	0.000416	0.001658
2021.040301	0.000000	0.000000	0.000000	465.151839	0.000000	0.000001	0.000013	3160.691639	0.000007	0.000007	0.000007	0.455851	0.099385	0.000000	0.000000	0.642475	0.199658	0.200357	0.200133	155.686997	0.000024	0.000056	0.000004	513.310798	0.000000	0.000000	0.000000	513.334110	0.000048	0.000042	0.000033	88.542601	0.000215	0.000415	0.000460	0.642475	0.668283	0.633106	0.547970	20.678293	0.002298	0.003322	0.003328	1889.637122	0.000000	0.000000	0.000000	34.157573	0.000000	0.000000	0.000000	410948.662244	0.000000	0.000000	0.000000	410948.654557	0.000000	0.000000	0.000000	0.652821	1.020000	0.682786	0.642524	113.051599	0.000339	0.000218	0.000818	57.025799	0.000678	0.000436	0.001636
2033.592140	0.000000	0.000000	0.000000	468.057525	0.000000	0.000001	0.000015	3180.429431	0.000008	0.000008	0.000008	0.458699	0.102495	0.000000	0.000000	0.646488	0.203299	0.204194	0.204006	158.080325	0.000016	0.000069	0.000002	516.516921	0.000000	0.000000	0.000000	516.539971	0.000050	0.000044	0.000036	89.095704	0.000228	0.000396	0.000450	0.646488	0.667053	0.631073	0.545894	20.807465	0.002259	0.003259	0.003397	1901.431239	0.000000	0.000000	0.000000	34.370397	0.000000	0.000000	0.000000	413515.754221	0.000000	0.000000	0.000000	413515.746620	0.000000	0.000000	0.000000	0.656718	1.015178	0.672591	0.632757	113.739813	0.000338	0.000228	0.000806	57.369906	0.000676	0.000457	0.001612
2046.143980	0.000000	0.000000	0.000000	470.963211	0.000000	0.000000	0.000017	3200.167224	0.000009	0.000009	0.000009	0.461546	0.104721	0.000000	0.000000	0.650502	0.206650	0.207728	0.207571	160.473652	0.000010	0.000084	0.000001	519.723043	0.000000	0.000000	0.000000	519.745832	0.000051	0.000046	0.000039	89.648807	0.000240	0.000376	0.000439	0.650502	0.665974	0.629322	0.544222	20.936637	0.002202	0.003190	0.003464	1913.225356	0.000000	0.000000	0.000000	34.583221	0.000000	0.000000	0.000000	416082.846199	0.000000	0.000000	0.000000	416082.838684	0.000000	0.000000	0.000000	0.660615	1.010550	0.662781	0.623350	114.428027	0.000336	0.000239	0.000795	57.714013	0.000672	0.000477	0.001589
2058.695819	0.000000	0.000000	0.000000	473.868896	0.000000	0.000000	0.000019	3219.905017	0.000010	0.000010	0.000010	0.464394	0.105999	0.000000	0.000000	0.654515	0.209683	0.210932	0.210802	162.866979	0.000006	0.000099	0.000000	522.929166	0.000000	0.000000	0.000000	522.951692	0.000052	0.000048	0.000041	90.201910	0.000251	0.000356	0.000428	0.654515	0.665049	0.627862	0.542963	21.065809	0.002127	0.003116	0.003527	1925.019473	0.000000	0.000000	0.000000	34.796046	0.000000	0.000000	0.000000	418649.938176	0.000000	0.000000	0.000000	418649.930748	0.000000	0.000000	0.000000	0.664512	1.006085	0.653349	0.614297	115.116241	0.000333	0.000248	0.000783	58.058120	0.000665	0.000496	0.001566
2071.247659	0.000000	0.000000	0.000000	476.774582	0.000000	0.000000	0.000021	3239.642809	0.000011	0.000011	0.000011	0.467242	0.106293	0.000000	0.000000	0.658528	0.212377	0.213783	0.213676	165.260307	0.000004	0.000113	0.000000	526.135288	0.000000	0.000000	0.000000	526.157553	0.000052	0.000049	0.000044	90.755013	0.000262	0.000336	0.000417	0.658528	0.664283	0.626696	0.542123	21.194981	0.002036	0.003044	0.003584	1936.813590	0.000000	0.000000	0.000000	35.008870	0.000000	0.000000	0.000000	421217.030154	0.000000	0.000000	0.000000	421217.022812	0.000000	0.000000	0.000000	0.668410	1.001750	0.644288	0.605588	115.804455	0.000328	0.000255	0.000772	58.402227	0.000655	0.000511	0.001544
2083.799498	0.000000	0.000000	0.000000	479.680268	0.000000	0.000000	0.000023	3259.380602	0.000012	0.000012	0.000012	0.470089	0.105596	0.000000	0.000000	0.662542	0.214709	0.216258	0.216171	167.653634	0.000002	0.000125	0.000000	529.341411	0.000000	0.000000	0.000000	529.363414	0.000052	0.000050	0.000046	91.308116	0.000271	0.000317	0.000406	0.662542	0.663683	0.625833	0.541708	21.324153	0.001931	0.002976	0.003631	1948.607707	0.000000	0.000000	0.000000	35.221694	0.000000	0.000000	0.000000	423784.122131	0.000000	0.000000	0.000000	423784.114876	0.000000	0.000000	0.000000	0.672307	0.997510	0.635588	0.597214	116.492669	0.000321	0.000261	0.000761	58.746334	0.000642	0.000522	0.001523
2096.351338	0.000000	0.000000	0.000000	482.585953	0.000000	0.000000	0.000026	3279.118395	0.000013	0.000013	0.000013	0.472937	0.103927	0.000000	0.000000	0.666555	0.216656	0.218335	0.218266	170.046961	0.000001	0.000132	0.000000	532.547534	0.000000	0.000000	0.000000	532.569275	0.000051	0.000051	0.000048	91.861220	0.000279	0.000298	0.000396	0.666555	0.663253	0.625279	0.541724	21.453325	0.001816	0.002918	0.003665	1960.401824	0.000000	0.000000	0.000000	35.434519	0.000000	0.000000	0.000000	426351.214109	0.000000	0.000000	0.000000	426351.206940	0.000000	0.000000	0.000000	0.676204	0.993329	0.627241	0.589166	117.180883	0.000313	0.000264	0.000751	59.090441	0.000627	0.000528	0.001502
