x	baseline	max	best	g0	g1	g2	g3	g4	0f0	0f10	0f20	1f0	1f10	1f20	2f0	2f10	2f20	3f0	3f10	3f20	4f0	4f10	4f20	5f0	5f10	5f20	6f0	6f10	6f20
176	0.000000	1.000000	0.880059	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.853159	0.914053	0.947871	0.952886	0.963800	0.965933	0.902843	0.957049	0.969192	0.967148	0.907659	0.903891	0.947871	0.970754	0.961681	0.926571	0.947871	0.934641	0.964583	0.973166	0.953043
177	0.000000	1.000000	0.882211	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.868374	0.921700	0.949206	0.953043	0.964583	0.967542	0.906637	0.963800	0.970990	0.967542	0.915987	0.907659	0.952886	0.973166	0.963800	0.929838	0.956821	0.940683	0.965933	0.975179	0.953895
178	0.000000	1.000000	0.886937	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.871850	0.924055	0.961063	0.956821	0.965933	0.968048	0.922685	0.964583	0.973166	0.970754	0.921700	0.916004	0.960177	0.975180	0.964583	0.940668	0.959013	0.945305	0.967148	0.977645	0.959013
179	0.000000	1.000000	0.887008	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.874561	0.929683	0.961681	0.961681	0.967370	0.970754	0.923736	0.965933	0.975180	0.977022	0.923578	0.921700	0.960891	0.977645	0.965933	0.940683	0.960891	0.946103	0.967542	0.979131	0.961063
180	0.000000	1.000000	0.889472	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.877672	0.931380	0.963800	0.963800	0.967542	0.970923	0.926231	0.970754	0.977645	0.977645	0.924055	0.924055	0.963662	0.979131	0.967148	0.945305	0.961063	0.947871	0.970923	0.984605	0.961681
181	0.000000	1.000000	0.898376	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.879135	0.940683	0.965933	0.965933	0.968040	0.979131	0.934977	0.970923	0.979131	0.979131	0.933377	0.926571	0.963800	0.984605	0.967542	0.947871	0.961681	0.956821	0.970990	0.987720	0.963800
182	0.000000	1.000000	0.899343	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.887680	0.943946	0.970754	0.967542	0.970754	0.984605	0.940668	0.970990	0.984605	0.984605	0.946103	0.946103	0.963958	0.987720	0.970754	0.949184	0.963800	0.959013	0.973166	0.992942	0.964583
183	0.000000	1.000000	0.901684	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.891665	0.947871	0.977645	0.970990	0.973166	0.987720	0.940683	0.979131	0.987720	0.987720	0.947442	0.947871	0.965933	0.991523	0.973166	0.951407	0.964583	0.961063	0.975180	0.993807	0.965933
184	0.000000	1.000000	0.903891	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.893294	0.961063	0.984605	0.973166	0.977645	0.991523	0.942125	0.987440	0.988252	0.993304	0.947871	0.951407	0.967542	0.992705	0.977645	0.952886	0.965933	0.961681	0.976120	0.994513	0.969192
185	0.000000	1.000000	0.914655	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.894342	0.961681	0.987440	0.975180	0.984605	0.992051	0.945305	0.987720	0.992705	0.993807	0.949184	0.953043	0.968048	0.992942	0.979131	0.959013	0.967542	0.963800	0.979131	0.997297	0.969409
186	0.000000	1.000000	0.914844	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.894619	0.963800	0.988252	0.976120	0.986457	0.992705	0.951407	0.989081	0.993807	0.996758	0.949206	0.961681	0.970923	0.993304	0.984605	0.959611	0.970754	0.964583	0.988252	0.998418	0.970754
187	0.000000	1.000000	0.921700	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.914053	0.965933	0.991523	0.977645	0.987440	0.992942	0.952886	0.992942	0.994513	0.997175	0.951407	0.963800	0.973166	0.993807	0.987720	0.960891	0.975179	0.965933	0.991523	0.998639	0.975179
188	0.000000	1.000000	0.923736	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.916004	0.968813	0.992705	0.979131	0.987720	0.993807	0.956821	0.993807	0.997297	0.997269	0.961681	0.964583	0.974076	0.994513	0.991523	0.961681	0.977645	0.967542	0.992705	0.999196	0.977645
189	0.000000	1.000000	0.923778	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.919011	0.970754	0.993807	0.988252	0.991523	0.994513	0.960891	0.994513	0.998639	0.998418	0.963800	0.967148	0.976120	0.996331	0.992051	0.963800	0.979131	0.970754	0.992998	1.000000	0.979131
190	0.000000	1.000000	0.924055	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.919502	0.970923	0.994513	0.988605	0.992051	0.994672	0.961063	0.996331	0.999196	0.999196	0.964583	0.967542	0.979131	0.997297	0.992705	0.964583	0.984605	0.975179	0.993807	1.000000	0.984605
191	0.000000	1.000000	0.928385	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.923778	0.973166	0.994672	0.991523	0.992942	0.997297	0.961681	0.997175	1.000000	1.000000	0.967148	0.970754	0.987440	0.998418	0.992942	0.965933	0.987720	0.977645	0.994672	1.000000	0.987720
192	0.000000	1.000000	0.934977	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.924055	0.984605	0.996331	0.992051	0.993304	0.998639	0.963800	0.997297	1.000000	1.000000	0.967542	0.970923	0.991523	0.998639	0.993304	0.967542	0.992705	0.979131	0.996019	1.000000	0.988252
193	0.000000	1.000000	0.936081	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.926231	0.987440	0.997269	0.992998	0.993807	0.999196	0.965933	0.998418	1.000000	1.000000	0.970754	0.977022	0.993807	0.999196	0.993807	0.970923	0.992942	0.984605	0.997297	1.000000	0.992705
194	0.000000	1.000000	0.943183	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.926571	0.991523	0.997297	0.993807	0.994513	1.000000	0.967148	0.998639	1.000000	1.000000	0.970923	0.979131	0.995405	1.000000	0.994331	0.973166	0.993304	0.987720	0.998418	1.000000	0.992942
195	0.000000	1.000000	0.944848	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.947871	0.992705	0.998639	0.994672	0.997297	1.000000	0.967542	1.000000	1.000000	1.000000	0.973787	0.984605	0.996331	1.000000	0.994513	0.974076	0.993807	0.991523	0.998639	1.000000	0.993304
196	0.000000	1.000000	0.944971	-0.666667	-0.333333	0.000000	0.333333	0.666667	0.952999	0.992998	0.999196	0.997297	0.998418	1.000000	0.974076	1.000000	1.000000	1.000000	0.979131	0.987720	0.997269	1.000000	0.997269	0.975180	0.994513	0.992942	0.999196	1.000000	0.993807
