x0	y0f0	y0f10	y0f20	x1	y1f0	y1f10	y1f20	x2	y2f0	y2f10	y2f20	x3	y3f0	y3f10	y3f20	x4	y4f0	y4f10	y4f20	x5	y5f0	y5f10	y5f20	x6	y6f0	y6f10	y6f20	x7	y7f0	y7f10	y7f20	x8	y8f0	y8f10	y8f20	x9	y9f0	y9f10	y9f20	x10	y10f0	y10f10	y10f20	x11	y11f0	y11f10	y11f20	x12	y12f0	y12f10	y12f20	x13	y13f0	y13f10	y13f20	x14	y14f0	y14f10	y14f20	x15	y15f0	y15f10	y15f20	x16	y16f0	y16f10	y16f20	x17	y17f0	y17f10	y17f20
2.517859	0.032029	0.000000	0.010635	0.423225	0.180139	0.000000	0.011792	33.781853	0.000808	0.000000	0.000000	23.138525	0.001545	0.000000	0.000000	4.710454	0.010552	0.013696	0.022023	80.266214	0.000386	0.000000	0.000327	1079.445549	0.000000	0.000000	0.000000	0.431893	0.000000	1.641989	5.027924	0.174084	0.000000	0.083151	0.019089	6.394058	0.000000	0.000010	0.000347	0.834422	0.060357	0.000003	0.000005	778.078322	0.000012	0.000028	0.000053	617.082932	0.000042	0.000060	0.000084	614.529279	0.000002	0.000010	0.000028	34.923517	0.000000	0.000000	0.000001	3.379548	0.004891	0.015158	0.005688	0.429599	1.367301	0.145209	0.372901	0.863231	0.419149	0.693765	0.931718
2.528843	0.029509	0.000000	0.010484	0.425195	0.177704	0.000000	0.009544	33.930589	0.000873	0.000000	0.000000	23.238900	0.001481	0.000000	0.000000	4.731798	0.011636	0.013168	0.021293	80.641144	0.000375	0.000000	0.000330	1084.468859	0.000000	0.000000	0.000000	0.433834	0.000000	1.645788	5.074955	0.174897	0.000000	0.092946	0.018358	6.423925	0.000000	0.000006	0.000313	0.838320	0.057235	0.000002	0.000003	781.711456	0.000011	0.000028	0.000054	619.964205	0.000038	0.000058	0.000083	617.399150	0.000002	0.000011	0.000030	35.079698	0.000000	0.000000	0.000002	3.399508	0.004449	0.015020	0.005617	0.431605	1.378839	0.144525	0.371843	0.867130	0.415983	0.682724	0.921455
2.539826	0.027010	0.000000	0.010400	0.427165	0.175437	0.000000	0.007650	34.079324	0.000935	0.000000	0.000000	23.339274	0.001407	0.000000	0.000000	4.753142	0.012713	0.012640	0.020626	81.016074	0.000364	0.000000	0.000335	1089.492168	0.000000	0.000000	0.000000	0.435775	0.000000	1.651657	5.116787	0.175710	0.000000	0.103531	0.018306	6.453792	0.000000	0.000004	0.000292	0.842218	0.054183	0.000002	0.000002	785.344590	0.000010	0.000029	0.000055	622.845479	0.000035	0.000056	0.000083	620.269021	0.000002	0.000012	0.000033	35.235879	0.000000	0.000000	0.000003	3.419468	0.004032	0.014842	0.005578	0.433612	1.390704	0.144341	0.370612	0.871028	0.413017	0.671836	0.910869
2.550810	0.024558	0.000000	0.010385	0.429135	0.173313	0.000000	0.006074	34.228060	0.000990	0.000000	0.000000	23.439649	0.001326	0.000000	0.000000	4.774487	0.013766	0.012116	0.020019	81.391003	0.000351	0.000000	0.000341	1094.515478	0.000000	0.000000	0.000000	0.437717	0.000000	1.659517	5.153148	0.176523	0.000000	0.114836	0.018935	6.483660	0.000000	0.000003	0.000281	0.846115	0.051222	0.000001	0.000002	788.977724	0.000010	0.000030	0.000056	625.726752	0.000033	0.000055	0.000083	623.138891	0.000002	0.000014	0.000036	35.392061	0.000000	0.000000	0.000005	3.439428	0.003639	0.014622	0.005573	0.435619	1.402826	0.144607	0.369189	0.874927	0.410228	0.661096	0.899973
2.561794	0.022179	0.000000	0.010442	0.431106	0.171300	0.000000	0.004775	34.376796	0.001038	0.000000	0.000000	23.540023	0.001241	0.000000	0.000000	4.795831	0.014776	0.011600	0.019468	81.765933	0.000337	0.000000	0.000348	1099.538788	0.000000	0.000000	0.000000	0.439658	0.000000	1.669273	5.183781	0.177337	0.000000	0.126779	0.020252	6.513527	0.000000	0.000002	0.000282	0.850013	0.048371	0.000001	0.000001	792.610858	0.000009	0.000031	0.000058	628.608026	0.000031	0.000054	0.000083	626.008762	0.000003	0.000016	0.000040	35.548242	0.000000	0.000001	0.000008	3.459389	0.003270	0.014359	0.005603	0.437625	1.415135	0.145266	0.367553	0.878825	0.407591	0.650500	0.888776
2.572778	0.019895	0.000000	0.010569	0.433076	0.169362	0.000000	0.003718	34.525532	0.001077	0.000000	0.000000	23.640398	0.001155	0.000000	0.000000	4.817175	0.015727	0.011097	0.018972	82.140863	0.000324	0.000000	0.000356	1104.562098	0.000000	0.000000	0.000000	0.441599	0.000000	1.680821	5.208442	0.178150	0.000000	0.139262	0.022271	6.543394	0.000000	0.000001	0.000295	0.853911	0.045649	0.000001	0.000001	796.243992	0.000010	0.000033	0.000060	631.489299	0.000029	0.000054	0.000083	628.878632	0.000003	0.000019	0.000045	35.704423	0.000000	0.000001	0.000012	3.479349	0.002926	0.014052	0.005667	0.439632	1.427554	0.146257	0.365681	0.882723	0.405083	0.640042	0.877290
2.583762	0.017724	0.000000	0.010766	0.435046	0.167460	0.000000	0.002867	34.674268	0.001105	0.000000	0.000000	23.740773	0.001073	0.000000	0.000000	4.838520	0.016605	0.010610	0.018526	82.515793	0.000312	0.000000	0.000363	1109.585408	0.000000	0.000000	0.000000	0.443541	0.000000	1.694037	5.226908	0.178963	0.000000	0.152171	0.025015	6.573261	0.000000	0.000001	0.000318	0.857808	0.043070	0.000000	0.000001	799.877126	0.000010	0.000035	0.000062	634.370573	0.000028	0.000054	0.000084	631.748503	0.000004	0.000022	0.000050	35.860604	0.000000	0.000002	0.000018	3.499309	0.002606	0.013701	0.005764	0.441639	1.440005	0.147513	0.363550	0.886622	0.402680	0.629714	0.865526
2.594746	0.015682	0.000000	0.011030	0.437016	0.165555	0.000000	0.002189	34.823003	0.001123	0.000000	0.000000	23.841147	0.000997	0.000000	0.000000	4.859864	0.017398	0.010143	0.018127	82.890722	0.000302	0.000000	0.000371	1114.608717	0.000000	0.000000	0.000000	0.445482	0.000000	1.708788	5.238973	0.179776	0.000000	0.165377	0.028507	6.603128	0.000000	0.000000	0.000354	0.861706	0.040649	0.000000	0.000000	803.510260	0.000011	0.000038	0.000064	637.251846	0.000027	0.000055	0.000085	634.618374	0.000005	0.000025	0.000055	36.016785	0.000000	0.000004	0.000027	3.519269	0.002310	0.013309	0.005895	0.443645	1.452406	0.148963	0.361139	0.890520	0.400360	0.619509	0.853497
2.605730	0.013779	0.000000	0.011357	0.438987	0.163608	0.000000	0.001654	34.971739	0.001130	0.000000	0.000000	23.941522	0.000930	0.000000	0.000000	4.881208	0.018100	0.009700	0.017773	83.265652	0.000293	0.000000	0.000377	1119.632027	0.000000	0.000000	0.000000	0.447423	0.000000	1.724929	5.244457	0.180589	0.000000	0.178737	0.032776	6.632995	0.000000	0.000000	0.000401	0.865604	0.038395	0.000000	0.000000	807.143394	0.000012	0.000041	0.000066	640.133120	0.000027	0.000056	0.000086	637.488244	0.000006	0.000029	0.000061	36.172966	0.000000	0.000006	0.000039	3.539229	0.002038	0.012877	0.006056	0.445652	1.464673	0.150534	0.358425	0.894419	0.398099	0.609417	0.841213
2.616714	0.012023	0.000000	0.011740	0.440957	0.161587	0.000000	0.001238	35.120475	0.001126	0.000000	0.000000	24.041896	0.000876	0.000000	0.000000	4.902553	0.018707	0.009283	0.017461	83.640582	0.000288	0.000000	0.000383	1124.655337	0.000000	0.000000	0.000000	0.449365	0.000000	1.742301	5.243203	0.181402	0.000000	0.192096	0.037851	6.662862	0.000000	0.000000	0.000461	0.869501	0.036318	0.000000	0.000000	810.776528	0.000014	0.000044	0.000068	643.014393	0.000028	0.000058	0.000087	640.358115	0.000008	0.000034	0.000066	36.329147	0.000000	0.000010	0.000055	3.559189	0.001788	0.012409	0.006247	0.447659	1.476718	0.152149	0.355386	0.898317	0.395875	0.599430	0.828688
